weather_date,storm_day_before,rain_intensity,max_temp_day,max_rain_day,heat_intensity,average_temp_day,average_rain_day
2021-09-09,1,no_rain,23.7,0.2,mild,20.75,0.01
2019-09-09,1,no_rain,25.8,0.0,mild,19.39,0.0
2021-08-09,1,no_rain,21.9,0.0,cold,18.25,0.0
2019-08-09,1,no_rain,21.5,0.2,cold,19.15,0.01
2018-08-09,1,no_rain,20.1,0.2,cold,16.28,0.01
2017-08-09,1,no_rain,25.7,0.2,mild,18.41,0.01
2021-07-09,1,no_rain,21.3,0.0,cold,16.63,0.0
2019-07-09,1,no_rain,20.6,0.2,cold,12.25,0.01
2021-06-09,1,moderate,23.3,9.6,mild,20.4,2.92
2017-06-09,1,weak,20.3,1.2,cold,16.4,0.07
2019-05-09,1,no_rain,23.8,0.8,mild,20.5,0.11
2018-05-09,1,moderate,22.9,4.2,mild,20.14,0.2
2017-05-09,1,no_rain,26.7,0.0,mild,20.95,0.0
2021-04-09,1,no_rain,27.9,0.0,warm,23.13,0.0
2019-04-09,1,no_rain,24.8,0.0,mild,20.07,0.0
2018-04-09,1,no_rain,28.5,0.2,warm,23.58,0.01
2018-03-09,1,no_rain,27.1,0.0,warm,22.34,0.0
2018-02-09,1,weak,29.8,2.0,warm,25.88,0.1
2017-02-09,1,no_rain,28.8,0.0,warm,24.89,0.0
2021-12-09,1,no_rain,23.1,0.0,mild,20.25,0.0
2020-12-09,1,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2016-12-09,1,no_rain,23.0,0.8,mild,21.58,0.12
2019-11-09,1,weak,23.6,1.6,mild,21.75,0.24
2018-11-09,1,moderate,23.9,3.2,mild,20.88,0.52
2019-10-09,1,no_rain,25.0,0.0,mild,20.64,0.0
2018-10-09,1,no_rain,28.4,0.0,warm,22.7,0.0
2021-09-08,1,moderate,20.0,6.4,cold,19.4,1.26
2017-09-08,1,no_rain,24.2,0.0,mild,20.44,0.0
2019-08-08,1,no_rain,28.3,0.0,warm,19.86,0.0
2018-08-08,1,weak,21.2,2.4,cold,15.91,0.12
2017-08-08,1,moderate,24.4,3.4,mild,17.88,0.22
2021-07-08,1,no_rain,22.3,0.0,mild,17.14,0.0
2019-07-08,1,no_rain,19.5,0.0,cold,10.69,0.0
2021-06-08,1,no_rain,20.7,1.0,cold,17.85,0.27
2018-06-08,1,no_rain,19.3,0.2,cold,12.26,0.01
2017-06-08,1,no_rain,24.5,0.4,mild,20.22,0.05
2019-05-08,1,no_rain,22.9,0.0,mild,20.58,0.0
2018-05-08,1,no_rain,22.8,0.4,mild,19.56,0.05
2017-05-08,1,moderate,24.7,2.6,mild,20.25,0.18
2021-04-08,1,weak,26.2,2.2,mild,22.6,0.28
2019-04-08,1,moderate,22.6,3.0,mild,20.38,0.78
2019-03-08,1,moderate,33.4,3.4,heavy_warm,26.79,0.14
2018-03-08,1,no_rain,26.1,0.0,mild,22.47,0.0
2018-02-08,1,no_rain,30.1,0.2,warm,24.49,0.01
2017-02-08,1,no_rain,26.1,0.0,mild,23.77,0.0
2021-12-08,1,no_rain,24.7,0.2,mild,21.7,0.01
2017-12-08,1,no_rain,29.3,0.6,warm,24.62,0.05
2016-12-08,1,weak,25.4,1.6,mild,22.11,0.07
2019-11-08,1,no_rain,24.8,0.8,mild,21.56,0.05
2018-11-08,1,no_rain,24.0,0.4,mild,21.0,0.03
2017-11-08,1,weak,22.7,1.8,mild,19.92,0.17
2019-10-08,1,no_rain,26.3,0.2,mild,19.91,0.01
2018-10-08,1,moderate,21.2,6.2,cold,19.58,0.49
2017-09-07,1,no_rain,25.5,0.0,mild,20.53,0.0
2019-08-07,1,no_rain,24.7,0.0,mild,19.2,0.0
2018-08-07,1,no_rain,20.6,0.2,cold,13.28,0.01
2017-08-07,1,no_rain,22.2,0.0,mild,16.69,0.0
2021-07-07,1,weak,22.2,1.6,mild,17.02,0.1
2017-07-07,1,no_rain,21.8,0.2,cold,17.61,0.01
2021-06-07,1,weak,18.0,2.4,cold,17.17,0.68
2019-06-07,1,no_rain,24.1,0.2,mild,18.33,0.02
2018-06-07,1,weak,15.0,1.4,heavy_cold,12.21,0.1
2017-06-07,1,weak,20.4,1.2,cold,19.45,0.08
2021-05-07,1,weak,21.8,2.2,cold,17.21,0.32
2019-05-07,1,weak,24.0,1.2,mild,22.09,0.08
2018-05-07,1,no_rain,24.8,0.6,mild,21.94,0.08
2021-04-07,1,moderate,25.5,3.8,mild,21.7,0.33
2017-04-07,1,no_rain,26.1,0.4,mild,21.26,0.03
2019-03-07,1,no_rain,30.2,0.4,warm,25.82,0.04
2018-03-07,1,no_rain,25.4,0.0,mild,23.25,0.0
2018-02-07,1,no_rain,29.2,0.0,warm,23.5,0.0
2017-02-07,1,no_rain,27.4,0.0,warm,25.3,0.0
2021-12-07,1,moderate,24.7,5.0,mild,22.06,0.23
2018-12-07,1,no_rain,22.6,0.0,mild,20.59,0.0
2016-12-07,1,no_rain,30.3,0.0,warm,22.99,0.0
2019-11-07,1,moderate,22.0,4.2,cold,20.02,0.27
2018-11-07,1,moderate,23.3,3.6,mild,21.25,0.34
2017-11-07,1,no_rain,23.2,0.0,mild,19.86,0.0
2020-10-07,1,no_rain,24.6,0.6,mild,19.94,0.02
2019-10-07,1,moderate,21.0,3.0,cold,18.02,0.28
2019-09-06,1,weak,14.5,2.4,heavy_cold,12.94,0.42
2017-09-06,1,no_rain,21.5,0.0,cold,18.69,0.0
2021-08-06,1,no_rain,21.1,0.0,cold,17.33,0.0
2019-08-06,1,no_rain,20.3,0.2,cold,16.58,0.04
2018-08-06,1,no_rain,19.9,0.0,cold,13.7,0.0
2021-07-06,1,moderate,20.0,4.2,cold,15.63,0.32
2017-07-06,1,no_rain,21.9,0.2,cold,16.57,0.01
2019-06-06,1,no_rain,20.3,0.2,cold,16.35,0.02
2018-06-06,1,no_rain,20.5,0.0,cold,14.44,0.0
2017-06-06,1,moderate,20.5,9.6,cold,19.1,0.82
2021-05-06,1,moderate,20.1,4.8,cold,18.01,1.0
2019-05-06,1,no_rain,29.9,0.0,warm,24.65,0.0
2021-04-06,1,weak,25.6,2.4,mild,22.03,0.36
2018-04-06,1,no_rain,26.4,0.0,mild,21.11,0.0
2017-04-06,1,no_rain,25.7,0.2,mild,22.4,0.01
2018-03-06,1,no_rain,31.2,0.0,warm,24.92,0.0
2018-02-06,1,no_rain,28.7,0.2,warm,22.51,0.01
2017-02-06,1,no_rain,30.7,0.2,warm,26.02,0.01
2021-12-06,1,moderate,24.7,3.4,mild,21.61,0.45
2018-12-06,1,no_rain,25.2,0.0,mild,21.48,0.0
2016-12-06,1,no_rain,29.7,0.0,warm,21.44,0.0
2018-11-06,1,no_rain,24.9,0.0,mild,20.1,0.0
2017-11-06,1,no_rain,22.7,0.0,mild,19.17,0.0
2019-10-06,1,moderate,20.7,3.2,cold,17.97,0.49
2017-10-06,1,heavy,27.1,12.0,warm,21.26,0.65
2019-09-05,1,no_rain,14.2,0.0,heavy_cold,13.4,0.0
2017-09-05,1,no_rain,27.4,0.0,warm,20.59,0.0
2021-08-05,1,weak,19.5,1.4,cold,17.26,0.29
2019-08-05,1,no_rain,18.7,0.0,cold,11.55,0.0
2021-07-05,1,no_rain,21.2,0.0,cold,16.87,0.0
2019-07-05,1,no_rain,16.6,0.0,cold,11.85,0.0
2017-07-05,1,no_rain,22.4,0.4,mild,17.29,0.02
2020-06-05,1,moderate,19.9,4.8,cold,18.06,0.68
2018-06-05,1,moderate,16.7,4.6,cold,15.27,0.49
2017-06-05,1,heavy,20.9,26.6,cold,19.14,3.44
2021-05-05,1,no_rain,23.8,0.0,mild,21.82,0.0
2017-05-05,1,no_rain,25.6,1.0,mild,21.26,0.07
2021-04-05,1,no_rain,28.0,0.0,warm,23.58,0.0
2019-04-05,1,moderate,31.4,2.8,warm,25.82,0.17
2018-04-05,1,no_rain,26.2,0.6,mild,21.53,0.03
2017-04-05,1,moderate,25.4,5.6,mild,22.83,0.82
2018-03-05,1,no_rain,31.1,0.0,warm,24.94,0.0
